BCS ID	Parameter	Description	EPICS	EPICS PV	EPICS RBV	Exists?	LV BCS State	Notes
# BCS ID = the decimal constant wired into the TU_SetParameter ("SET") node in the block diagram, i.e. the TULVIDC_*/TULVIDP_* id. "-" means the parameter is not set through a SET node (it is an input to TU_SetROI / TU_SetTrigger / TU_SetOutPutTrigger, a BCS-internal value, or ours only).
# Ids decoded from the AXIS-SXR-40-SDK repo's info/labview-sdk-manuals/ "Tucsen相机 Labview开发指南.pdf" 6.1.3/6.1.4 -- the CN guide lists each id with its decimal value; the EN guide's tables are an older, shorter subset. These are LabVIEW-layer ids, NOT the TUCam ids in sdk/inc/TUDefine.h; TULV_API.dll translates between them.
# NB: the SAVE node reads 771 (TULVIDC_TRIGGERSAVE) in the Initialize screenshot. 772 is its sibling TULVIDC_TRIGGERBUFSAVE, which appears in no screenshot -- if a colleague's notes say 772, they may be looking at a different VI revision. Worth reconciling.
# Source: labview-screenshots/*.png (in this folder) -- ALL SEVEN cases (Initialize, Init Single Shot, Start Single Shot, Get Single Shot Status, Get Single Shot Data, Get Freerun Status, Shutdown). Updated 2026-08-05.
# ==== SECTION 1: SET BY BCS IN "Initialize" ====
532	Resolution	Sensor readout mode 4096/2048/1024 (TUIDC_RESOLUTION)	AXIS_BIN_MODE	BinMode	BinMode_RBV	YES	Initialize: SET id 532 TULVIDC_RESOLUTION	Resolution selector, not the binning capabilities. Choices built at runtime from Capa_GetAttr.
301	Gain Type	Global gain / gain-mode index 0..5 (TUIDP_GLOBALGAIN)	ADGain	Gain	Gain_RBV	YES	Initialize: SET id 301 TULVIDP_GLOBGAIN	Index not multiplier: 0 HDR, 1 High, 2 Low, 3-5 Raw. Ours defaults VAL=1.0 and autosaves; saved value is currently 1 = High gain. Match to the BCS config file. NB TULVIDP_GAINMODE (303) is a separate id BCS does not use.
774	Fan On?	Fan gear / grade (TUIDC_FAN_GEAR)	AXIS_FAN_GEAR	FanGear	FanGear_RBV	YES	Initialize: SET id 774 TULVIDC_FAN	TULVIDC_FAN is a gear (风扇档位), same semantics as ours. BCS narrows it to a boolean in its own cluster only.
802	Thermoelectric Cooler?	TEC cooling on/off (TUIDC_ENABLETEC)	AXIS_TEC_ENABLE	TECEnable	TECEnable_RBV	YES	Initialize: SET id 802 TULVIDC_TECENABLE	Vendor doc marks ENABLETEC (0x3B) NOT supported on 4040/4040BSI; our path has never run against the camera. BCS writing it is not evidence it works.
537	Defect Pixel Correction	MISLABELLED IN BCS - id 537 is noise-reduction level	AXIS_NOISE_LEVEL	NoiseLevel	NoiseLevel_RBV	YES	Initialize: SET id 537 TULVIDC_NOISELEVEL	*** LABEL MISMATCH. No defect-pixel id exists anywhere in the LabVIEW id space. BCS has been setting denoise strength. Our equivalent is NoiseLevel (TUIDP_NOISELEVEL, 0..3), NOT DefectCorrection.
771	Save on trigger	SDK-side auto-save of images to disk	-	-	-	NO (by design)	Initialize: SET id 771 TULVIDC_TRIGGERSAVE <- 0	BCS turns this OFF ("Don't save file"). LabVIEW-SDK-only feature (siblings SAVEFRAME 768, IMGFORMAT 769, IMGCOUNT 770, TRIGGERBUFSAVE 772, IMGSAVEPATH 547). File writing here is the NDFile TIFF/HDF5 plugins. Not a gap.
-	Use ROI?	Enable/disable ROI mode (TUCAM_ROI_ATTR.bEnable)	-	-	-	NO	Initialize + Get Freerun Status: TU_SetROI 6th input (0 OFF / 1 ON)	*** ONLY REAL GAP. setROI() hardcodes bEnable=true. Full-frame + enabled SHOULD equal disabled but is untested. Fix: set bEnable only when region < MaxSizeX/Y.
-	Start X	ROI horizontal offset	ADMinX	MinX	MinX_RBV	YES	Initialize + Get Freerun Status: TU_SetROI StartX	Ours aligns down to a multiple of 4.
-	Width	ROI width	ADSizeX	SizeX	SizeX_RBV	YES	Initialize + Get Freerun Status: TU_SetROI Width	Ours aligns down to a multiple of 8 (measured; vendor doc says 4 and is wrong).
-	Start Y	ROI vertical offset	ADMinY	MinY	MinY_RBV	YES	Initialize + Get Freerun Status: TU_SetROI StartY	Ours aligns down to a multiple of 4.
-	Height	ROI height	ADSizeY	SizeY	SizeY_RBV	YES	Initialize + Get Freerun Status + Init Single Shot: TU_SetROI Height	Also used in Init Single Shot to compute readout time - see "Shutter pulse delay".
-	Trigger	Capture mode: sequence/standard/sync/global/software	ADTriggerMode	TriggerMode	TriggerMode_RBV	YES	Initialize: TU_SetTrigger CaptureMode	TULVCM_* 0..4 numbering is identical to ours: Free Run(0) Standard(1) Synchronous(2) Global(3) Software(4).
-	Trigger exposure mode	Use exposure time vs level width	AXIS_TRIG_EXP	TriggerExposure	TriggerExposure_RBV	YES	Initialize: TU_SetTrigger ExpourseMode = "Timed"	TULVTE_EXPTM(0) == our "Trigger"(0); TULVTE_WIDTH(1) == our "Gate"(1).
-	Trigger frame count	Frames per trigger	-	-	-	NO (hardcoded 1)	Initialize: TU_SetTrigger Frame = 1	Ours hardcodes nFrames=1 in setTrigger(). Matches BCS, so not a gap.
